mmsi,imo,pre_label,confidence_tier,region,evidence_notes,source_urls,analyst_id,evidence_timestamp
247767890,9467211,suspected-positive,medium,europe,Flag: Cook Islands. Vessel positioned in Nakhodka STS zone x2. Linked via nominee director to Russia-proximate entity.,analyst-a,analyst-a,2025-10-30T07:00:00+00:00
247878901,9578322,suspected-positive,weak,europe,One AIS gap near Bornholm. Vessel has legitimate Baltic feeder charter. Single indicator — insufficient alone.,analyst-c,analyst-c,2025-10-15T14:00:00+00:00
247989012,9689433,suspected-positive,weak,europe,Owner shares address with entity that appeared in leaked documents alongside two known price-cap evaders.,analyst-c,analyst-c,2025-11-01T12:00:00+00:00
255100123,9790544,suspected-positive,high,europe,Malta-flagged vessel with AIS manipulation x6 in 90 days. Detected in Primorsk crude loading zone via satellite.,https://www.kpler.com/russia-dark-fleet,analyst-a,2025-10-05T08:00:00+00:00
255211234,9801655,suspected-positive,high,europe,Repeated dark transits North Sea during price-cap monitoring period. Owner: anonymous Cyprus entity formed post-sanctions.,https://www.opensanctions.org/entities/RU-XZ9876,analyst-b,2025-10-18T09:00:00+00:00
255322345,9912766,suspected-positive,medium,europe,STS candidate event detected off Norwegian EEZ boundary — unusual area for crude transfer. No declared cargo.,analyst-a,analyst-a,2025-10-28T07:00:00+00:00
255433456,9023877,uncertain,medium,europe,AIS gap near Danish Straits but vessel is a verified LNG tanker on Equinor charter. Investigating.,analyst-b,analyst-b,2025-10-12T13:00:00+00:00
255544567,9134988,uncertain,medium,europe,Ownership chain opaque but vessel has clean P&I and classification. No AIS anomalies in last 60 days.,analyst-a,analyst-a,2025-11-03T09:30:00+00:00
255655678,9246099,uncertain,weak,europe,Single AIS gap North Sea — likely GPS shadow near offshore platform. Under monitoring.,analyst-c,analyst-c,2025-10-22T11:00:00+00:00
255766789,9357200,analyst-negative,high,europe,Major European oil company vessel with full ownership transparency. AIS gap caused by port authority VHF-only corridor.,https://www.equasis.org/EquasisWeb/vessel/9357200,analyst-a,2025-09-20T10:00:00+00:00
255877890,9468311,analyst-negative,high,europe,NATO-contracted vessel conducting legitimate supply mission. AIS transponder switched off per operational security rules.,analyst-b,analyst-b,2025-09-30T12:00:00+00:00
255988901,9579422,analyst-negative,medium,europe,Flag change from Cyprus to Malta for P&I compliance — documented with Maritime Malta authority.,analyst-a,analyst-a,2025-10-10T09:00:00+00:00
256099012,9680533,analyst-negative,medium,europe,Norwegian flagged tanker under spot charter to Equinor. Ownership and cargo fully disclosed. No indicators.,analyst-b,analyst-b,2025-10-25T10:00:00+00:00
563999001,9999901,suspected-positive,high,singapore,Vessel re-identified after name change. Previously flagged under alias GOLDEN WAVE with two OFAC-adjacent STS contacts.,https://www.maritimeintelligence.org/vessel-reidentification,analyst-a,2025-11-12T07:00:00+00:00
470999002,9999902,suspected-positive,high,middleeast,Conducting dark ship-to-ship operations off UAE coast with confirmed dark-fleet member. Satellite imagery evidence.,https://www.satellite-aiswatch.com/sts-evidence,analyst-a,2025-11-10T08:00:00+00:00
247999003,9999903,suspected-positive,high,europe,Carrying Russian crude detected via VIIRS satellite thermal signal. AIS position falsified — vessel near Primorsk not Baltic.,https://www.kpler.com/russia-crude-tracker,analyst-b,2025-11-08T09:00:00+00:00
